Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
497,497,851,1208,564,1018,1460,2119,1470,607,362
498,498,549,863,482,918,1406,1792,1436,599,427
499,499,666,962,472,1004,1337,1924,1423,529,494
500,500,1144,1488,710,1360,2183,3044,2019,670,567
501,501,1119,1557,654,1270,2281,2995,1706,550,422
502,502,846,978,469,844,1640,1985,1357,552,506
503,503,963,1195,524,1107,2133,2611,1594,566,424
504,504,559,718,249,628,1570,1860,1300,431,419
505,505,836,1120,486,780,1741,2430,1488,524,393
506,506,465,665,343,681,1267,1938,1504,650,455
507,507,878,1135,434,1010,2142,2869,1822,816,509
508,508,763,887,390,828,1356,1774,1368,575,451
509,509,565,900,423,783,920,1427,1118,414,300
510,510,664,751,320,1392,1588,2272,1607,658,572
511,511,450,789,396,791,1103,1847,1757,790,523
512,512,479,751,307,692,1105,2003,1420,704,440
513,513,515,677,309,715,1303,1841,1214,526,430
514,514,561,762,375,859,1426,1923,1582,676,534
515,515,577,802,415,892,1510,1952,1473,627,492
516,516,557,664,352,663,1591,2111,1300,637,531
517,517,710,843,435,951,1584,2092,1411,580,419
518,518,859,1058,453,877,1591,2812,1557,591,483
519,519,870,1018,376,903,1908,2538,1537,645,539
520,520,637,891,437,832,1565,2119,1532,554,489
521,521,933,1154,487,867,2066,2703,1460,679,564
522,522,1169,1366,515,981,2694,3415,1612,613,443
523,523,445,637,350,803,1069,1717,1494,628,507
524,524,664,861,405,776,1156,1878,1394,599,423
525,525,695,929,465,925,1460,2258,1375,621,380
526,526,657,961,419,928,1384,2078,1668,685,561
527,527,791,1090,455,1008,1509,1944,1507,573,502
528,528,791,1059,526,1122,1564,2352,1974,750,682
529,529,898,1291,543,1008,1639,2593,1542,521,342
530,530,664,1021,423,978,1280,1855,1393,553,371
531,531,738,895,362,1169,1296,2093,1274,430,304
532,532,568,714,308,637,1015,1450,1132,530,389
533,533,621,919,423,1106,2132,2126,1507,551,342
534,534,520,858,374,1272,2067,2075,1450,562,445
535,535,658,713,323,1523,2990,2373,1580,528,381
536,536,448,666,267,969,2012,1890,1338,530,480
537,537,718,948,488,1415,2274,1829,1322,497,400
538,538,650,825,341,1037,2963,2346,1273,494,280
539,539,473,464,209,1517,2678,1749,999,339,308
540,540,434,646,323,1092,1905,1759,1251,571,314
541,541,507,660,364,895,2004,1993,1228,519,395
542,542,440,624,336,1347,1948,1711,1169,414,364
543,543,677,784,372,2050,4557,2808,1385,438,341
544,544,526,744,407,1153,2325,1779,1197,360,289
545,545,458,631,335,854,2601,1992,1352,539,338
546,546,656,820,336,985,3288,2551,1573,550,426
547,547,538,778,412,3123,3101,2230,1381,517,460
548,548,649,792,380,1088,2717,2458,1562,611,540
549,549,564,576,281,970,2726,2155,1464,563,360
550,550,514,567,344,993,2347,1936,1321,505,384
551,551,497,799,379,1834,1978,1534,1088,472,404
552,552,491,554,244,1255,2894,2249,1452,544,405
553,553,371,530,200,1802,2389,1967,1282,411,353
554,554,565,631,260,4215,3808,2741,1632,491,362
555,555,714,876,391,2240,2917,2092,1363,451,448
556,556,321,563,377,694,984,1505,1341,472,434
557,557,328,534,327,589,718,1178,1198,430,488
558,558,505,707,373,619,1192,1946,1574,721,437
559,559,426,509,286,620,1480,1926,1614,654,420
560,560,320,599,325,653,787,1377,1262,676,559
561,561,373,483,243,577,1376,1863,1160,564,564
562,562,387,576,251,472,1100,1672,1357,638,440
563,563,545,761,298,532,1121,2009,1388,745,575
564,564,418,655,319,622,1119,2061,1469,704,588
565,565,350,614,281,1002,1140,1961,1288,590,369
566,566,466,608,306,647,986,1822,1314,681,534
567,567,349,494,210,674,1305,1864,1551,730,613
568,568,418,522,267,1399,1732,2184,1186,513,393
569,569,308,390,195,655,1095,1397,1416,707,635
570,570,314,387,223,787,1315,1751,1082,595,301
571,571,378,588,196,603,1281,1761,1084,530,423
572,572,452,537,248,1003,1444,2109,1199,628,400
573,573,287,573,230,434,934,1736,1696,913,910
574,574,389,571,252,686,1122,1717,1326,779,596
575,575,370,626,268,734,1393,1847,1326,614,457
576,576,421,558,296,588,1104,1640,1354,685,523
577,577,464,985,511,612,671,1999,1649,688,560
578,578,274,744,510,1427,924,1476,1543,722,773
579,579,661,983,426,1192,1590,2230,1248,609,548
580,580,1092,1498,581,1328,2005,3443,1870,706,457
581,581,716,977,420,2329,2278,2436,1357,567,442
582,582,522,975,547,1010,1199,2132,1400,540,432
583,583,657,943,434,667,1266,2391,1684,703,522
584,584,516,807,391,596,998,1952,1608,766,644
585,585,735,699,282,1376,2640,2764,1427,673,514
586,586,422,590,284,2187,1091,1552,1006,465,349
587,587,514,446,177,735,2057,1983,884,380,344
588,588,367,670,431,601,920,1594,1595,789,664
589,589,510,523,195,801,1766,2039,1091,553,556
590,590,384,782,382,536,632,1613,1489,809,676
591,591,469,658,350,577,914,1809,1624,923,799
592,592,705,831,309,555,1236,2154,1293,589,597
593,593,636,918,413,840,1345,2103,1681,603,473
594,594,503,750,395,539,987,1710,1494,660,623
595,595,415,557,242,400,826,1388,1131,586,408
596,596,633,918,426,759,1204,1943,1716,689,584
